Year,Country,fertility,life,population,child_mortality,gdp,region
1964,Afghanistan,7.671,33.639,10474903,339.7,1182,South Asia
1965,Afghanistan,7.671,34.152,10697983,334.1,1182,South Asia
1966,Afghanistan,7.671,34.662,10927724,328.7,1168,South Asia
1967,Afghanistan,7.671,35.17,11163656,323.3,1173,South Asia
1968,Afghanistan,7.671,35.674,11411022,318.1,1187,South Asia
1969,Afghanistan,7.671,36.172,11676990,313,1178,South Asia
1970,Afghanistan,7.671,36.663,11964906,307.8,1174,South Asia
1971,Afghanistan,7.671,37.143,12273101,302.1,1092,South Asia
1972,Afghanistan,7.671,37.614,12593688,296.4,1046,South Asia
1973,Afghanistan,7.671,38.075,12915499,290.8,1137,South Asia
1974,Afghanistan,7.671,38.529,13223928,284.9,1170,South Asia
1975,Afghanistan,7.671,38.977,13505544,279.4,1201,South Asia
1976,Afghanistan,7.67,39.417,13766792,273.6,1231,South Asia
1977,Afghanistan,7.67,39.855,14003408,267.8,1119,South Asia
1978,Afghanistan,7.67,40.298,14179656,261.6,1179,South Asia
1979,Afghanistan,7.669,40.756,14249493,255.5,1155,South Asia
1980,Afghanistan,7.669,41.242,14185729,249.1,1158,South Asia
1981,Afghanistan,7.67,41.77,13984092,242.7,1284,South Asia
1982,Afghanistan,7.671,42.347,13672870,236.2,1402,South Asia
1983,Afghanistan,7.673,42.977,13300056,229.7,1454,South Asia
1984,Afghanistan,7.676,43.661,12931791,222.9,1429,South Asia
1985,Afghanistan,7.679,44.4,12625292,216,1384,South Asia
1986,Afghanistan,7.681,45.192,12372113,209.2,1486,South Asia
1987,Afghanistan,7.682,46.024,12183387,202.1,1230,South Asia
1988,Afghanistan,7.682,46.88,12156685,195,1113,South Asia
1989,Afghanistan,7.682,47.744,12414686,187.8,1087,South Asia
1990,Afghanistan,7.687,48.601,13032161,181,1028,South Asia
1991,Afghanistan,7.7,49.439,14069854,174.2,1022,South Asia
1992,Afghanistan,7.725,50.247,15472076,167.8,941,South Asia
1993,Afghanistan,7.758,51.017,17053213,162,810,South Asia
1994,Afghanistan,7.796,51.738,18553819,156.8,725,South Asia
1995,Afghanistan,7.832,52.4,19789880,152.3,872,South Asia
1996,Afghanistan,7.859,52.995,20684982,148.6,895,South Asia
1997,Afghanistan,7.869,53.527,21299350,145.5,921,South Asia
1998,Afghanistan,7.854,54.009,21752257,142.6,947,South Asia
1999,Afghanistan,7.809,54.449,22227543,139.9,972,South Asia
2000,Afghanistan,7.733,54.863,22856302,137,962,South Asia
2001,Afghanistan,7.623,55.271,23677385,133.8,862,South Asia
2002,Afghanistan,7.484,55.687,24639841,130.3,1053,South Asia
2003,Afghanistan,7.321,56.122,25678639,126.8,1097,South Asia
2004,Afghanistan,7.136,56.583,26693486,123.2,1067,South Asia
2005,Afghanistan,6.93,57.071,27614718,119.6,1146,South Asia
2006,Afghanistan,6.702,57.582,28420974,116.3,1173,South Asia
2007,Afghanistan,6.456,58.102,29145841,113.2,1298,South Asia
2008,Afghanistan,6.196,58.618,29839994,110.4,1311,South Asia
2009,Afghanistan,5.928,59.124,30577756,107.6,1548,South Asia
2010,Afghanistan,5.659,59.612,31411743,105,1637,South Asia
2011,Afghanistan,5.395,60.079,32358260,102.3,1695,South Asia
2012,Afghanistan,5.141,60.524,33397058,99.5,1893,South Asia
2013,Afghanistan,4.9,60.947,34499915,96.7,1884,South Asia
1964,Albania,5.711,65.475,1817098,122.67,3023,Europe & Central Asia
1965,Albania,5.594,65.863,1869942,120.09,3129,Europe & Central Asia
1966,Albania,5.483,66.122,1922993,117.56,3242,Europe & Central Asia
